id,value,context_factor_id,context_factor_value_id,thing_id,user_id,created_at,updated_at,id,title,description,type,image,indoorsLocation,display_title,active,id,title,display_title,active_in_training,active_in_prediction,id,title,display_title,description,context_factor_id,active_in_training,active_in_prediction
1033,0,1,1,18,e78038f60a3c4ed6ab3ebcfb771e18f1,"2019-10-13 19:34:39.458000","2019-10-13 19:34:39.458000",18,"phone charging station",,BCN_I,phone-charging-station.jpg,1,"Public Phone Charging Station",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
1040,1,1,1,14,d0d6c6f708684db282bd63286838ba37,"2019-10-13 20:14:37.757000","2019-10-13 20:14:37.757000",14,"coffee machine",,BCN_I,coffee-machine.jpg,1,"Coffee Machine",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
1123,-1,1,1,65,ea1f2ef371664b0abb590f0c3af4c67d,"2019-10-13 21:13:58.412000","2019-10-13 21:13:58.412000",65,"painting in a museum",,BCN_I,art-painting.jpg,1,"Painting at a Museum",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
1147,-1,1,1,8,ea1f2ef371664b0abb590f0c3af4c67d,"2019-10-13 21:15:42.484000","2019-10-13 21:15:42.485000",8,"vending machine with drinks",,BCN_I,vending-machine-with-drinks.jpg,1,"Vending Machine with Drinks",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
1167,-1,1,1,15,ea1f2ef371664b0abb590f0c3af4c67d,"2019-10-13 21:16:54.048000","2019-10-13 21:16:54.048000",15,laundromat,"Public self-service laundry.",BCN_I,laundromat.jpg,1,Laundromat,1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
1248,-1,1,1,6,0f6159735a224d88a050864ae5a4bc51,"2019-10-13 21:31:54.778000","2019-10-13 21:31:54.778000",6,ATM,,BCN_I,atm.jpg,1,ATM/Cashpoint,1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
1267,0,1,1,65,31103cb3a0554f13b5e34b8fa32ea588,"2019-10-13 21:33:46.331000","2019-10-13 21:33:46.331000",65,"painting in a museum",,BCN_I,art-painting.jpg,1,"Painting at a Museum",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
1280,0,1,1,54,31103cb3a0554f13b5e34b8fa32ea588,"2019-10-13 21:34:50.405000","2019-10-13 21:34:50.405000",54,"ice cream vending machine",,BCN_I,ice-cream-vending-machine.jpg,1,"Ice Cream Vending Machine",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
1290,0,1,1,72,31103cb3a0554f13b5e34b8fa32ea588,"2019-10-13 21:35:17.912000","2019-10-13 21:35:17.913000",72,"toy vending machine",,BCN_I,toy-vending-machine.jpg,1,"Toy Vending Machine",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
1296,-1,1,1,22,0f6159735a224d88a050864ae5a4bc51,"2019-10-13 21:36:00.065000","2019-10-13 21:36:00.065000",22,"food order machine in a restaurant","Primarily used in fast food restaurants.",BCN_I,food-order-machine-restaurant.jpg,1,"Order Kiosk in a Restaurant",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
1316,0,1,1,50,31103cb3a0554f13b5e34b8fa32ea588,"2019-10-13 21:36:56.086000","2019-10-13 21:36:56.087000",50,"milk vending machine","Selling fresh, unprocessed milk. Typically requires you to bring your own bottle.",BCN_I,milk-vending-machine.jpg,1,"Milk Vending Machine",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
1326,0,1,1,13,31103cb3a0554f13b5e34b8fa32ea588,"2019-10-13 21:37:23.881000","2019-10-13 21:37:23.881000",13,"photo booth",,BCN_I,photo-booth.jpg,1,"Photo Booth",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
1360,0,1,1,40,31103cb3a0554f13b5e34b8fa32ea588,"2019-10-13 21:41:15.846000","2019-10-13 21:41:15.846000",40,"bottle return machine",,BCN_I,bottle-return-machine.jpg,1,"Bottle Return Machine",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
1405,0,1,1,64,31103cb3a0554f13b5e34b8fa32ea588,"2019-10-13 21:46:55.639000","2019-10-13 21:46:55.639000",64,"multimedia device in a museum",,BCN_I,museum-multimedia.jpg,1,"Multimedia Device at a Museum",1,1,timeOfDay,"Time of Day",1,1,1,earlyMorning,"early morning","it is early morning (04:00–08:00).",1,1,1
